publisher,title,categories,url
루리웹,전체 뉴스,game,http://bbs.ruliweb.com/news/rss
루리웹,PC/온라인,game,http://bbs.ruliweb.com/news/529/rss
게임동아,뉴스,game,https://game.donga.com/feeds/rss/news/
게임동아,리뷰,game|review,https://game.donga.com/feeds/rss/review/
게임샷,전체,game,https://www.gameshot.net/rss/all.xml
연합뉴스,문화,anime|entertainment,https://www.yna.co.kr/rss/all/culture
인벤,웹진,game|anime,https://www.inven.co.kr/webzine/rss/news.php
PC Gamer,PC 게임,game,https://www.pcgamer.com/rss/
IGN,전체,game|anime,https://www.ign.com/rss/all.xml
Anime News Network,애니 뉴스,anime,https://www.animenewsnetwork.com/all/rss.xml
